Year,Favor,Oppose
1972,52.4,39.9
1973,59.7,35.5
1974,62.8,32.6
1975,60.1,33.1
1976,66.1,29.6
1977,67.8,26.0
1978,67.0,27.4
1980,66.7,28.0
1982,76.2,18.3
1983,74.3,20.8
1984,72.5,22.5
1985,75.1,20.3
1986,72.3,22.2
1987,71.5,23.3
1988,71.8,21.6
1989,73.8,21.0
1990,74.8,19.4
1991,72.2,22.1
1993,72.6,20.2
1994,75.5,18.7
1996,72.5,20.5
1998,69.0,24.0
2000,65.4,27.2
2002,67.2,28.6
2004,63.9,30.4
2006,65.5,29.2
2008,63.9,31.1
2010,64.8,30.5
2012,62.7,31.4
2014,62.3,32.5
2016,58.4,36.7
2018,60.8,33.8
2021,56.4,43.0
2022,58.5,36.7
